id,generate id,RFID,generalInfo.name,generalInfo.discipline,generalInfo.nfdiConsortia,generalInfo.domain,generalInfo.altName,generalInfo.provider,generalInfo.RDItype,generalInfo.description,generalInfo.contactName,generalInfo.contactEmail,generalInfo.url,generalInfo.re3dataIdentifier,generalInfo.datasetsSearchCollectionId,generalInfo.Type_of_resources_present ,generalInfo.License,generalInfo.license_source_link,generalInfo.Type_of_access_rights ,generalInfo.NFDI_link,lawAndEthics.dataProvider,lawAndEthics.instituteType,lawAndEthics.complianceMeasures,lawAndEthics.dataTypes,lawAndEthics.applicableRegulations,lawAndEthics.accessRights,lawAndEthics.embargoPeriod,technicalInfo.metadataStandards.standards,technicalInfo.metadataStandards.interoperabilityLevel,technicalInfo.accessProtocols.supportedProtocols,technicalInfo.accessProtocols.authenticationMethods,technicalInfo.accessProtocols.persistentIdentifiers,technicalInfo.maintenance.softwareLicense,technicalInfo.maintenance.sustainabilityPlan,technicalInfo.maintenance.supportServices,technicalInfo.maintenance.updateFrequency,FAIRness.findability.persistentIdentifier,FAIRness.findability.richMetadata,FAIRness.findability.indexedInSearchEngines,FAIRness.findability.metadataSchema,FAIRness.findability.metadataPersistence,FAIRness.accessibility.retrievalProtocol,FAIRness.accessibility.authenticationRequired,FAIRness.accessibility.authenticationType,FAIRness.accessibility.metadataAlwaysAvailable,FAIRness.accessibility.dataAvailability,FAIRness.interoperability.knowledgeRepresentation,FAIRness.interoperability.vocabulariesUsed,FAIRness.interoperability.qualifiedReferences,FAIRness.interoperability.apiAvailability,FAIRness.interoperability.dataFormats,FAIRness.reusability.licenseClarity,FAIRness.reusability.provenanceInfo,FAIRness.reusability.communityStandards,FAIRness.reusability.documentationQuality,FAIRness.reusability.citationGuidelines,FAIRness.assessmentDate,FAIRness.assessmentMethod,FAIRness.overallFAIRScore,agriculturalContext.researchDomains,agriculturalContext.cropTypes,agriculturalContext.geographicCoverage,agriculturalContext.temporalCoverage.startYear,agriculturalContext.temporalCoverage.endYear,agriculturalContext.temporalCoverage.temporalResolution
1,RFId001202606012,RFId001202604272,BonaRes Repository,Life Sciences,FAIRagro,Agricultural Sciences,,ZALF (​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​Leibniz Centre for Agricultural Landscape Research),Repository,"Publication of (inter)national data on soil, agricultural research and ecology",,dataservice@zalf.de ,https://www.bonares.de/research-data,r3d100013470,bonares,"Datasets, geo-spatial data, observational data and images",CC-BY 4.0 ,https://www.re3data.org/repository/r3d100013470,unrestricted,https://FAIRagro.net/en/services/search-hub/our-research-data-infrastructure/#:~:text=BonaRes%20Repositorium,ZALF (​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​Leibniz Centre for Agricultural Landscape Research),,,,,unrestricted,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,no,,,,,,,,,
2,RFId002202606012,RFId002202604272,GFZ Data Services,Life Sciences,"NFDI4Earth, FAIRagro, NFDI4Microbiota",Geological sciences,,German Research Centre for Geosciences in Potsdam,Repository,"GFZ Data Services is a FAIR-compliant geoscience repository that provides long-term archiving, DOI assignment, and open access to research data and software.",,kirsten.elger@gfz.de,https://dataservices.gfz-potsdam.de/web/,r3d100012335,,"Geoscientific research data, software, images, and reports","CC0, CC-BY 4.0",https://www.re3data.org/repository/r3d100012335,unrestricted,https://www.dfg.de/resource/blob/174310/09bba7bf9bff63c833aae948ea9def25/nfdi4earth-abstract-data.pdf,German Research Centre for Geosciences in Potsdam,,,,,unrestricted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,RFId003202606012,RFId003202604272,EDI Data Portal,Life Sciences,FAIRagro,Environmental sciences,,"University of New Mexico and the University of Wisconsin – Madison, Center for Limnology",Data Portal,"Repository of environmental sciences funded by the U.S. National Science Foundation implemented by numerous partners, CORE TRUST-certified",,info@edirepository.org,https://portal.edirepository.org/nis/home.jsp,r3d100010272,,"Data sets, Images, software and text ","CC0, CC BY 4.0",https://www.re3data.org/repository/r3d100010272,unrestricted,https://zenodo.org/records/11144471,"University of New Mexico and the University of Wisconsin – Madison, Center for Limnology",,,,,unrestricted,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Yes,,,,,,,,,
4,RFId004202606012,RFId004202604272,Plant Genomics and Phenomics Research Data Repository,Life Sciences,"FAIRagro, DataPLANT",Plant Sciences,"edal, e!DAL-PGP",Leibniz Institut for Plant Genetics and Crop Plant Research (IPK),Infrastructure,"Infrastructure for the extensive publication of plant research data
",,matthias.lange@ipk-gatersleben.de,https://edal-pgp.ipk-gatersleben.de/,r3d100011876,edal,"Dataset, genomic data, measurement and test data, simulation data","All data published with e!DAL-PGP are a Creative Commons License. The following types are possible: CC-0, CC-BY, CC-BY-SA, CC-BY-ND, CC-BY-NC, CC-BY-NC-SA and CC-BY-NC-ND.  For an open access publication CC-0, CC-BY and CC-BY-SA are recommended.",https://edal-pgp.ipk-gatersleben.de/document/PGP-contract.pdf,unrestricted,https://zenodo.org/records/11144471,Leibniz Institut for Plant Genetics and Crop Plant Research (IPK),,,,,unrestricted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,RFId005202606012,RFId005202604272,EnsemblPlants,Life Sciences,FAIRagro,Plant Sciences,,European Molecular Biology Laboratory – European Bioinformatics Institute (EMBL‑EBI) (United Kingdom),Infrastructure,EnsemblPlants is a genome-centric portal for plant species.,,https://www.ensembl.org/Help/Contact,http://plants.ensembl.org/index.html,r3d100011199,,"Plant genomic, gene annotation, variation, and comparative genomics data.",EMBL-EBI and Apache License 2.0,https://www.re3data.org/repository/r3d100011199,unrestricted,https://zenodo.org/records/11144471,European Molecular Biology Laboratory – European Bioinformatics Institute (EMBL‑EBI) (United Kingdom),,,,,unrestricted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,RFId006202606012,RFId006202604272,NCBI,Life Sciences,FAIRagro,"Plant Genetics and Genomics, Biomedicine, Plant Sciences, Life Sciences, Natural Sciences",,"National Center for Biotechnology Information (NCBI), U.S. National Library of Medicine (NLM), National Institutes of Health (NIH).",Infrastructure,The National Center for Biotechnology Information advances science and health by providing access to biomedical and genomic information.,,info@ncbi.nlm.nih.gov,https://www.ncbi.nlm.nih.gov/gene?db=gene,r3d100010650,,"Gene and genomic data, annotations, cross-references",Public Domain / Open Access,https://www.re3data.org/repository/r3d100010650,unrestricted,https://zenodo.org/records/11144471,"National Center for Biotechnology Information (NCBI), U.S. National Library of Medicine (NLM), National Institutes of Health (NIH).",,,,,unrestricted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,RFId007202606012,RFId007202604272,Zenodo,Life Sciences,NA,uncategorized,,"CERN (European Organization for Nuclear Research), Switzerland",Infrastructure,Large repo without subject specialisation for the publication of all types of research data,,info@zenodo.org,https://zenodo.org/,r3d100010468,,"Research data, publications, software, documentation",CC0,https://www.re3data.org/repository/r3d100010468,unrestricted,https://zenodo.org/records/11144471,"CERN (European Organization for Nuclear Research), Switzerland",,,,,unrestricted,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,,,,,,,,,
8,RFId008202606012,RFId008202604272,PUBLISSO Repository for Life Sciences,Life Sciences,FAIRagro,Life Sciences,,ZB MED – Informationszentrum Lebenswissenschaften,Repository,"ZB MED’s Repository for Life Sciences provides free, open-access publication and archiving of scientific texts and research data in medicine, health, nutrition, environment, and agriculture.",,fachrepositorium@zbmed.de,https://repository.publisso.de/,r3d100013523,frl,"Research data, publications, and supplemental materials in life sciences",Open access within the limits of the Copyright Law,https://www.gesetze-im-internet.de/englisch_urhg/englisch_urhg.html,unrestricted,https://zenodo.org/records/11144471,ZB MED – Informationszentrum Lebenswissenschaften,,,,,unrestricted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,RFId009202606012,RFId009202604272,ZB MED Suchportal Lebenswissenschaften,Life Sciences,FAIRagro,Life Sciences,LIVIVO Discovery Service,ZB MED – Informationszentrum Lebenswissenschaften,Data Portal,"LIVIVO, operated by ZB MED, is an interdisciplinary search engine for life sciences that indexes literature and research data from multiple databases, including DataCite centres, with ongoing integration of additional life science repositories.",,info@zbmed.de ,https://www.livivo.de,r3d100013036,,"LIVIVO provides metadata access to datasets, publications, and other research outputs as it’s a discovery service, not a data host.",Respective license of the linked resource,https://www.livivo.de/app/misc/help/about#Copyright_Notice,unrestricted,https://zenodo.org/records/11144471,ZB MED – Informationszentrum Lebenswissenschaften,,,,,unrestricted,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,
10,RFId010202606012,RFId010202604272,GBIS/I,Life Sciences,FAIRagro,Plant Sciences,,Leibniz Institut for Plant Genetics and Crop Plant Research (IPK),Information System ,Information on the inventory of the federal centre of ex situ collection for plants/seeds,,"	gbis-info@ipk-gatersleben.de
",https://gbis.ipk-gatersleben.de/gbis2i/faces/index.jsf,,,"Datasets, images, and metadata on plant genetic resources conserved at IPK",,,unrestricted,https://zenodo.org/records/11144471,Leibniz Institut for Plant Genetics and Crop Plant Research (IPK),,,,,unrestricted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
